id height sex age
id636728 174.429795159687 0 56.5664877162697
id890314 168.176943059097 0 74.8311971509938
id102874 178.612190619767 1 45.2478051768211
id200949 171.770230117638 0 46.7362651142108
id336491 185.941629656499 1 61.2743318817997
id988766 173.159286450017 1 43.9794924518567
id21999 167.478282481124 0 64.842094190157
id433893 168.33178468379 1 49.2526444099125
id688932 171.691587811178 0 50.3954417563357
id394203 173.491495887183 1 71.6498502881161
id995678 167.875970536401 0 8.39869838208752
id694339 175.700752054599 0 50.0998355342632
id256455 175.337891176997 0 42.6820785344791
id14836 182.168331733645 1 35.84982537436
id817128 169.967709786392 1 75.1778848007977
id803325 173.16442907678 0 28.6168667499216
id521287 173.61354014585 1 51.2035495453341
id701472 175.981848980239 1 71.317748150985
id850010 184.639363303696 1 54.1708913077258
id268483 174.449158757425 1 64.672254784919
id738781 172.511588930637 0 55.826668149936
id28411 166.965919919108 0 55.2344683531986
id541635 179.13293630535 1 60.094310490059
id751101 161.083305377039 0 56.0717500949652
id826300 170.363825407616 1 63.665040254938
id884387 175.758464998892 0 51.4922416338243
id492414 157.580260914086 0 58.9086160227674
id268871 166.726256710685 0 47.0400488754909
id627354 179.443127793034 0 34.5390266052269
id503932 NA 0 57.9730568400579
id163442 162.280195241471 0 36.9517698503585
id317797 173.234859224152 0 26.9160557334094
id687857 171.800020146137 0 55.9852681138142
id871570 185.55122893382 1 55.9721414361996
id724067 180.638786833009 1 56.169622106367
id874076 176.365271989711 1 59.679661502336
id927863 166.58258874032 0 66.5804018479591
id369805 160.714475766297 0 40.9060018470829
id668376 178.810079668969 1 70.0289032015097
id717362 185.933657898588 1 43.2938000839428
id665504 188.073788122923 1 48.1890218410542
id336637 166.647805506924 0 46.3818454875327
id60633 173.926544281331 0 23.3035147869928
id848600 183.718150720331 1 67.4684273207409
id169514 NA 0 69.1485027947351
id690732 168.077043501898 0 58.6011997417331
id684760 NA 0 35.0181958776374
id553502 181.900113671502 1 69.021545511428
id214917 164.770792110508 0 64.5792136558752
id849169 180.151096849933 1 85.1378897451664
id941921 161.098948528482 0 53.9306167830798
id784646 179.840638304032 1 61.0777384471877
id520954 170.269437334459 1 75.1877622200444
id996355 173.186738843185 1 68.4642493691293
id96730 163.630004125508 0 57.1196372489835
id673442 178.838621147176 1 65.3664807538282
id68305 178.004074138215 1 71.492661769509
id653025 165.844742336964 0 70.3844614651848
id208543 171.565532819551 0 42.7273130468441
id335725 191.908624952512 1 59.07501675694
id980400 159.961276224304 0 49.5742764537921
id869939 167.476213723559 0 51.2304881822403
id297563 158.832328739104 0 58.7762533364224
id852663 178.834414412308 1 73.6435079503658
id162070 170.276363312888 0 58.5395213672811
id272875 182.066813847844 1 49.5876044884458
id163787 171.68809183749 0 68.8908979920022
id422204 157.811680968311 0 58.2823099142426
id120197 172.402447122612 0 48.358739385489
id33660 172.687696395935 1 34.5696455859549
id803855 158.76378508184 0 48.4657306042704
id255048 163.258037518271 0 35.6533578434766
id690936 170.426845824359 0 65.1658883151137
id126807 186.646969582003 1 64.1449135851599
id99016 166.851331078492 0 83.1286765059919
id883847 156.395410859358 0 32.8768313919283
id354523 179.848745636711 1 56.5576112454553
id737255 176.283778224062 1 63.1548637296665
id990941 183.062589534755 1 51.2757150587473
id25464 178.774898125608 0 65.8709224202587
id918375 171.879570975349 0 72.0383097723614
id537828 174.280062814704 1 47.955368260406
id682778 197.693432311418 1 30.7120816027501
id587547 NA 0 21.7856062696169
id670874 NA 0 79.5124479990884
id444459 NA 0 24.9259940481639
id777456 167.260151682603 1 49.2658818137372
id452384 173.347483981372 1 55.6701281442022
id826975 164.808775206261 0 65.4075683141035
id519567 178.474504765564 0 43.0203774957767
id84292 166.664628244472 0 53.8287139728737
id124432 187.359372394095 1 56.296379999476
id800145 159.793062551802 0 37.6133115816202
id153857 166.193131397238 0 22.4000884415168
id587157 NA 0 52.6803878151058
id506262 NA 1 64.6329004021784
id634462 181.53807286492 0 48.9229031786133
id687592 172.388126833275 0 52.4998634824607
id955526 NA 0 55.5028971749649
id181850 185.840255615845 1 36.9858719983532
id159506 186.376390127835 1 74.4479535239579
id609051 192.240521818612 1 65.7780043121851
id963886 174.488413063651 0 49.5309813200341
id405792 176.372934134811 1 45.4926234574294
id494172 171.56744721794 1 76.8579185394453
id964637 166.444143896755 0 45.8647287757214
id799355 177.862471720998 1 44.8057251910419
id157111 170.657730233167 0 62.0341545813151
id114524 171.25136710964 0 58.0449946893389
id954931 168.740397885895 0 68.1780337798445
id827034 183.879115672702 1 77.975957535635
id689645 170.188165136391 0 65.0844124272657
id281585 170.842220921632 1 42.9564982749518
id885624 182.134017338977 0 47.946437354424
id577871 160.140121305064 0 33.496144471879
id238796 NA 1 65.1188558784702
id481035 173.149628763659 0 54.9042314354739
id972713 171.738530038969 1 65.7714621464961
id905484 177.623047540669 1 71.6426475587537
id713511 175.268561723758 1 61.0799627423927
id512328 167.735338303079 0 73.7172758099854
id703534 166.720050990185 1 72.236834718085
id409904 170.745579798846 0 73.9923175757741
id577169 153.371221740599 0 60.8809640676469
id813971 NA 0 84.133625401668
id558483 163.667583478963 0 47.2247044219155
id892784 174.985647203756 0 67.1744740151211
id611178 176.521596485872 1 37.0445776963834
id192732 169.812257152633 0 59.3369580720623
id917280 NA 0 58.043607917703
id435876 166.776190361572 0 84.7430569805322
id980722 168.283559641308 0 86.0193317930932
id308273 172.742206212221 1 67.9707116505756
id476685 165.280837820994 0 54.7063589427748
id315883 173.581025454778 0 73.3223997610317
id935945 179.555469888261 1 52.118107675761
id991781 175.897738961518 0 54.6531435678751
id65199 165.189311532089 1 49.8781163523718
id226233 157.7754459523 0 42.4381766815376
id860183 170.231243565794 0 68.8462268055324
id295209 180.924032978557 1 78.6565274462897
id544964 167.292463491719 0 60.762708960918
id648663 NA 0 75.0190110887193
id710165 169.151713181379 0 63.9855377719135
id392593 182.21678768154 1 68.2994577588663
id129945 160.575156284367 0 65.450018701293
id382621 171.638871438864 0 67.6857740000913
id901440 174.530069595511 0 42.9092669890405
id39847 160.646774792024 0 47.4092740225689
id526460 178.538740677989 1 37.1159675739944
id477473 185.011018392328 1 49.977246546458
id448194 179.059975160777 1 45.8864332551482
id904184 167.112949149708 0 72.7257919416073
id747852 182.548533497441 1 55.0767660383464
id711012 180.220178110644 1 52.7445325672677
id683879 171.236817500069 0 53.3088463375829
id789575 165.28679839529 0 91.4953003008313
id650729 164.794971641543 0 60.9597656604966
id934302 175.406909983166 1 50.3886674733413
id555013 NA 1 64.1674752353489
id82779 161.223049117577 0 44.6985843914277
id771444 187.900379864306 1 46.5564125440742
id821562 172.231440638372 0 48.1039500848528
id292809 NA 1 37.5673188162435
id645690 170.584620717111 0 53.4688809984076
id223901 171.713564155488 1 42.9332336834406
id41320 187.297180749935 1 42.44110357481
id96181 182.340998335808 1 68.9407465426672
id147900 174.375688422634 0 40.8853912428091
id702917 178.555905829164 1 47.4966871113988
id150640 184.380746051819 1 38.6252819189693
id518391 171.300702239563 1 49.6835155346146
id879076 160.577565064011 0 67.0132815628215
id952031 184.748626970448 1 65.7036712353429
id10055 171.863717508283 0 62.168376851186
id727213 173.15478329161 1 71.4567885339962
id41961 167.037587092139 0 20.0826286512544
id257209 186.886444067285 1 45.8561930442368
id995361 172.633411553182 0 63.0505997160459
id957918 160.159478972068 0 99.0805060934096
id975370 160.634825077609 0 57.5380244640958
id889896 172.084241360101 1 59.2264081828809
id978164 152.246200808029 0 77.6420424892831
id90359 167.757610509192 0 37.7531529719782
id307158 160.475706647835 0 63.0980555343967
id755940 NA 1 20.3119086993193
id995582 171.358428943422 0 51.8289273125384
id363965 165.592903454164 0 71.7721946331034
id729124 168.214746933587 0 71.2376691564842
id871963 165.67901183807 1 52.9417211803685
id475172 168.841375831808 0 37.329706301489
id804699 163.162474229119 1 54.203147574914
id625843 NA 1 42.8794810637712
id595713 172.886158516028 0 46.4056563167277
id462604 NA 1 38.2072756439264
id106141 175.327756738783 1 54.110359198852
id689349 153.912385571881 0 69.7870790365425
id639003 180.466901803263 1 73.8435693312958
id393896 165.738067793658 1 59.4568181253727
id450307 176.326139008795 1 47.0319626853433
